CHEBI:16814	dehydroepiandrosterone sulfate
CHEBI:17636	sphingomyelin d18:1
CHEBI:16650	UDP-N-acetyl-D-galactosamine
CHEBI:17012	N-acetylneuraminic acid
CHEBI:18368	D-glucosyl-N-acylsphingosine
CHEBI:28689	dehydroepiandrosterone
CHEBI:17659	UDP
CHEBI:9254	magnesium distearate
CHEBI:16908	NADH
CHEBI:15521	lauroyl-CoA
CHEBI:17862	3-dehydrosphinganine
CHEBI:17600	hexadecanal
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:17553	O-phosphoethanolamine
CHEBI:16474	NADPH
CHEBI:16761	ADP
CHEBI:17761	ceramide
CHEBI:31998	phytoceramide
CHEBI:15846	NAD(+)
CHEBI:15756	hexadecanoic acid
CHEBI:16393	sphingosine
CHEBI:16038	phosphatidylethanolamine
CHEBI:16110	1,2-diacyl-sn-glycero-3-phosphocholine(1+)
CHEBI:31488	dihydroceramide
CHEBI:17585	trans-hexadec-2-enal
CHEBI:15346	coenzyme A
CHEBI:15422	ATP
CHEBI:18367	phosphate(3-)
CHEBI:73204	ceramide phosphoethanolamine
CHEBI:17636	sphingomyelin d18:1
CHEBI:16526	carbon dioxide
CHEBI:33384	L-serine zwitterion
CHEBI:46961	phytosphingosine
CHEBI:37550	sphingosine 1-phosphate
CHEBI:16566	sphinganine
CHEBI:18009	NADP(+)
CHEBI:16893	sphinganine 1-phosphate
CHEBI:17408	monoglyceride
CHEBI:60431	2,2'-dilysocardiolipin
CHEBI:15346	coenzyme A
CHEBI:29017	1-acyl-sn-glycero-3-phosphoethanolamine
CHEBI:15377	water
CHEBI:16038	phosphatidylethanolamine
CHEBI:16110	1,2-diacyl-sn-glycero-3-phosphocholine(1+)
CHEBI:15904	long-chain fatty acid
CHEBI:60430	2-monolysocardiolipin
CHEBI:29108	calcium(2+)
CHEBI:17504	1-O-acyl-sn-glycero-3-phosphocholine(1+)
CHEBI:28494	cardiolipin
CHEBI:17984	acyl-CoA
CHEBI:16240	hydrogen peroxide
CHEBI:16908	NADH
CHEBI:15521	lauroyl-CoA
CHEBI:15351	acetyl-CoA
CHEBI:27537	trans-oct-2-enoyl-CoA
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:16474	NADPH
CHEBI:50583	3-hydroxyoctadecanoyl-CoA
CHEBI:15846	NAD(+)
CHEBI:15531	malonyl-CoA
CHEBI:15491	3-oxopalmitoyl-CoA
CHEBI:85939	cis-3-octenoyl-CoA
CHEBI:16238	FAD
CHEBI:15904	long-chain fatty acid
CHEBI:10723	trans-dec-2-enoyl-CoA
CHEBI:50998	2,3-trans-enoyl CoA
CHEBI:15346	coenzyme A
CHEBI:16526	carbon dioxide
CHEBI:17984	acyl-CoA
CHEBI:27700	trans-3-enoyl-CoA
CHEBI:18009	NADP(+)
CHEBI:15345	acetoacetyl-CoA
CHEBI:15741	succinic acid
CHEBI:10983	(R)-3-hydroxybutyrate
CHEBI:13705	acetoacetate
CHEBI:15378	hydron
CHEBI:15380	succinyl-CoA
CHEBI:16908	NADH
CHEBI:15346	coenzyme A
CHEBI:15846	NAD(+)
CHEBI:15351	acetyl-CoA
CHEBI:29888	diphosphoric acid
CHEBI:16732	CDP-ethanolamine
CHEBI:15343	acetaldehyde
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:18420	magnesium(2+)
CHEBI:16038	phosphatidylethanolamine
CHEBI:16000	ethanolamine
CHEBI:17553	O-phosphoethanolamine
CHEBI:17815	1,2-diacyl-sn-glycerol
CHEBI:16134	ammonia
CHEBI:16337	phosphatidic acid
CHEBI:16761	ADP
CHEBI:17677	CTP
CHEBI:17361	CMP
